group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cont_mfs.fin.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cont_mfs.fin.mask.fits.gz            2.62 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cont.ms.flagversions.tgz             6.29 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cont.ms.tgz                          18.18 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube00.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube00.mask.fits.gz                  2.64 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube00.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube01.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube01.mask.fits.gz                  2.62 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube01.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube02.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube02.mask.fits.gz                  2.59 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube02.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube03.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube03.mask.fits.gz                  2.59 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube03.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube04.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube04.mask.fits.gz                  2.59 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube04.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube05.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube05.mask.fits.gz                  2.63 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube05.pbcor.fits                    2.57 GB
